Textbox16,ACTUAL_SHIP_DATE_TIME,SHIPPING_LOAD_NUM,CUSTOMER,store,ERP_order,AISLE,PARENT_CONTAINER_ID,item,ITEM_DESC,coef,pck,pcs,total_piece,total_kg,LOT
310,16-Jul-26,1480118,48448,PYN,CR07057734334,24,00004000000052589117,0000000146859_1,SAJIKU NASI GORENG PEDAS 20GR_1C20P,200,0,2,2,0,08062027
311,16-Jul-26,1480118,48448,PYN,CR07057734334,24,00004000000052589124,0000000146895_1,SAORI SAUS TIRAM 270ML_1C12P,12,0,1,1,0,12062027
312,16-Jul-26,1480118,48448,PYN,CR07057734334,24,00004000000052589117,0000000146911_1,SAORI TIRAM 133ML_1C24P,24,0,1,1,0,12062027
313,16-Jul-26,1480118,48448,PYN,CR07057734334,24,00004000000052589124,0000000146931_1,KAPAL GARAM HALUS 250 GR_1C40P,40,0,5,5,0,01062031
314,16-Jul-26,1480118,48448,PYN,CR07057734334,24,00004000000052589117,0000000146934_1,SAORI TIRAM 23ML_1C120P,120,0,4,4,0,25052027
315,16-Jul-26,1480118,48448,PYN,CR07057734334,28,00004000000052589209,0000000147026_1,SAFARI 100GR POLOS_1C120P,120,0,6,6,0,26082027
316,16-Jul-26,1480118,48448,PYN,CR07057734334,41,00004000000052589353,0000000147032_1,SAFARI 100GR WARNA_1C120P,120,0,4,4,0,23082027
317,16-Jul-26,1480118,48448,PYN,CR07057734334,33,00004000000052589278,0000000147203_1,POCARI SWEAT 500 ML_1C24P,24,0,12,12,0,07062027
318,16-Jul-26,1480118,48448,PYN,CR07057734334,25,00004000000052589155,0000000147277_1,TULIP CHOCOLATE 75GR_1C30P,30,0,5,5,0,12012028
319,16-Jul-26,1480118,48448,PYN,CR07057734334,24,00004000000052589124,0000000147480_1,KRAFT SINGLE EXTRA 5S 75 GR_1C54P,54,0,1,1,0,06042027
320,16-Jul-26,1480118,48448,PYN,CR07057734334,27,00004000000052589193,0000000147799_1,ENERGEN VANILLA SC 5X34G _1C32P,32,0,2,2,0,11052027
321,16-Jul-26,1480118,48448,PYN,CR07057734334,27,00004000000052589193,0000000147799_1,ENERGEN VANILLA SC 5X34G _1C32P,32,0,14,14,0,28042027
